Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"PB0/CTL_HALL","OffPage","05 POWER","5","SCH","R150.1,U21.4","440","1060","4A","{3}"
"PB0/CTL_HALL","OffPage","03 MCU","3","SCH","U1.26","150","300","5C","{5}"
"PB1/HALL_OC","OffPage","05 POWER","5","SCH","R151.1,U21.3","560","1060","4A","{3}"
"PB1/HALL_OC","OffPage","03 MCU","3","SCH","U1.27","150","310","5C","{5}"
"PC2/NTC","OffPage","04 JY02A","4","SCH","C24.2,R157.2,R26.2","1300","280","2C","{3}"
"PC2/NTC","OffPage","03 MCU","3","SCH","U1.10","140","130","5D","{4}"
"PA11/SPEED","OffPage","03 MCU","3","SCH","U1.44","580","250","4D","{4}"
"PA11/SPEED","OffPage","04 JY02A","4","SCH","R148.1,R149.2","550","650","4B","{3}"
"PA15/H1","OffPage","04 JY02A","4","SCH","TP9.1,U16.12","320","860","4A","{3}"
"PA15/H1","OffPage","03 MCU","3","SCH","U1.50","580","180","4D","{4}"
"PB3/H2","OffPage","04 JY02A","4","SCH","TP8.1,U16.10","320","880","4A","{3}"
"PB3/H2","OffPage","03 MCU","3","SCH","U1.55","580","130","4D","{4}"
"PB10/H3","OffPage","04 JY02A","4","SCH","TP7.1,U16.8","320","900","4A","{3}"
"PB10/H3","OffPage","03 MCU","3","SCH","U1.29","150","330","5C","{4}"
"PA5/VREF","OffPage","04 JY02A","4","SCH","U25.3","1050","1010","2A","{3}"
"PA5/VREF","OffPage","03 MCU","3","SCH","U1.21","150","250","5D","{4}"
"PC4/EN","OffPage","04 JY02A","4","SCH","U22.1","1330","770","1B","{3}"
"PC4/EN","OffPage","03 MCU","3","SCH","U1.24","150","280","5C","{4}"
"PC5/Z/F","OffPage","04 JY02A","4","SCH","U23.1","1330","870","1A","{3}"
"PC5/Z/F","OffPage","03 MCU","3","SCH","U1.25","150","290","5C","{4}"
"PC0/WORK_CURR","OffPage","05 POWER","5","SCH","C122.2,R103.2,TP15.1,U27.3,U27.4","760","70","3D","{3}"
"PC0/WORK_CURR","OffPage","03 MCU","3","SCH","U1.8","140","110","5D","{5}"
"PC1/WORK_VOLT","OffPage","05 POWER","5","SCH","C123.1,R155.1,R156.2,TP16.1,U27.1,U27.6","760","190","3D","{3}"
"PC1/WORK_VOLT","OffPage","03 MCU","3","SCH","U1.9","140","120","5D","{5}"
